"First Name","Gender","Start Date","Last Login Time","Salary","Bonus %","State","Abbreviation"
Thomas,Male,1995-06-04 00:00:00.000,"2:24 PM",62096,17.029,Alabama,AL
Bonnie,Female,1991-07-02 00:00:00.000,"1:27 AM",104897,5.118,Alabama,AL
Margaret,Female,1988-09-10 00:00:00.000,"12:42 PM",131604,7.353,Alabama,AL
Charles,Male,2004-09-14 00:00:00.000,"8:13 PM",107391,1.26,Alabama,AL
Robin,Female,1983-06-04 00:00:00.000,"3:15 PM",114797,5.965,Alabama,AL
Bonnie,Female,1988-11-13 00:00:00.000,"3:30 PM",115814,4.99,Alabama,AL
Gerald,,1995-03-17 00:00:00.000,"12:50 AM",137126,15.602,Alabama,AL
Christopher,Male,2008-03-30 00:00:00.000,"10:52 AM",47369,14.822,Alabama,AL
Steven,Male,1980-03-30 00:00:00.000,"9:20 PM",35095,8.379,Alabama,AL
Shawn,Male,2005-09-23 00:00:00.000,"2:55 AM",148115,6.539,Alabama,AL
Doris,Female,2004-08-20 00:00:00.000,"5:51 AM",83072,7.511,Alabama,AL
Jeremy,Male,2008-02-01 00:00:00.000,"8:50 AM",100238,3.887,Alabama,AL
Annie,,2007-09-29 00:00:00.000,"12:11 AM",103495,17.29,Alabama,AL
Annie,Female,1993-01-30 00:00:00.000,"2:05 AM",144887,8.276,Alabama,AL
Donna,Female,1991-11-27 00:00:00.000,"1:59 PM",64088,6.155,Alabama,AL
Janice,Female,2016-03-12 00:00:00.000,"12:40 AM",51082,11.955,Alabama,AL
Janice,,1997-08-21 00:00:00.000,"5:12 AM",91719,11.583,Alabama,AL
James,,2005-01-26 00:00:00.000,"11:00 PM",128771,8.309,Alabama,AL
Linda,Female,2000-05-25 00:00:00.000,"5:45 PM",119009,12.506,Alabama,AL
Virginia,,1994-05-07 00:00:00.000,"5:58 PM",111858,1.601,Alabama,AL
Harry,Male,1981-08-26 00:00:00.000,"3:16 PM",130620,7.03,Alabama,AL
Heather,Female,1998-07-11 00:00:00.000,"2:17 PM",43026,14.166,Alabama,AL
Cynthia,Female,1994-03-21 00:00:00.000,"8:34 AM",142321,1.737,Alabama,AL
Laura,,2014-07-19 00:00:00.000,"9:23 PM",140371,10.62,Alabama,AL
Tina,Female,2016-06-16 00:00:00.000,"7:47 PM",100705,16.961,Alabama,AL
Harold,Male,1985-01-02 00:00:00.000,"9:40 PM",77544,12.447,Alabama,AL
Melissa,Female,2005-06-21 00:00:00.000,"6:33 AM",48109,14.995,Alabama,AL
Aaron,Male,2012-02-17 00:00:00.000,"10:20 AM",61602,11.849,Alabama,AL
Jack,Male,1997-01-12 00:00:00.000,"5:51 AM",103902,12.159,Alabama,AL
Phyllis,Female,1996-10-11 00:00:00.000,"9:30 PM",136984,8.932,Alabama,AL
John,Male,1989-12-23 00:00:00.000,"7:01 AM",80740,19.305,Alabama,AL
Kathy,Female,1996-03-09 00:00:00.000,"4:33 AM",91712,8.567,Alabama,AL
Paul,Male,1993-08-04 00:00:00.000,"7:25 PM",42146,3.046,Alabama,AL
Steven,Male,2013-04-23 00:00:00.000,"10:12 PM",68680,16.565,Alabama,AL
Russell,,1988-05-05 00:00:00.000,"7:57 AM",133980,12.396,Alabama,AL
Christopher,Male,2000-04-22 00:00:00.000,"10:15 AM",37919,11.449,Alabama,AL
Shirley,Female,2001-06-20 00:00:00.000,"10:39 PM",147113,16.135,Alabama,AL
Bonnie,Female,1999-12-17 00:00:00.000,"3:12 PM",42153,8.454,Alabama,AL
Willie,Male,2003-11-27 00:00:00.000,"6:21 AM",64363,4.023,Alabama,AL
Tina,Female,2009-06-12 00:00:00.000,"7:16 AM",114767,3.711,Alabama,AL
Ashley,Female,2002-08-04 00:00:00.000,"11:00 AM",58698,6.811,Alabama,AL
Pamela,Female,1982-07-01 00:00:00.000,"6:51 AM",54585,4.166,Alabama,AL
,Male,1991-06-22 00:00:00.000,"8:58 PM",76189,18.988,Alabama,AL
Steven,Male,1995-03-01 00:00:00.000,"3:03 PM",109095,9.494,Alabama,AL
Andrea,Female,2012-01-12 00:00:00.000,"5:43 AM",120204,9.557,Alabama,AL
Paul,Male,2008-06-03 00:00:00.000,"3:05 PM",41054,12.299,Alabama,AL
Peter,Male,1994-11-17 00:00:00.000,"6:15 PM",84885,15.402,Alabama,AL
Kathleen,,2016-05-09 00:00:00.000,"8:55 AM",119735,18.74,Alabama,AL
Christina,Female,2012-04-13 00:00:00.000,"2:04 PM",110169,13.892,Alabama,AL
Helen,Female,2001-11-29 00:00:00.000,"2:30 AM",73789,14.841,Alabama,AL
Marilyn,Female,1983-11-16 00:00:00.000,"8:29 AM",76078,2.401,Alabama,AL
Patricia,Female,2003-09-01 00:00:00.000,"6:46 AM",49368,14.226,Alabama,AL
Michelle,Female,1984-03-30 00:00:00.000,"6:43 PM",57325,17.179,Alabama,AL
William,Male,2002-09-29 00:00:00.000,"4:09 PM",66521,5.83,Alabama,AL
Kenneth,Male,1987-08-25 00:00:00.000,"9:16 PM",127654,16.439,Alabama,AL
Antonio,Male,1988-10-25 00:00:00.000,"1:50 PM",60866,13.101,Alabama,AL
Shirley,Female,1984-05-01 00:00:00.000,"1:15 PM",41334,6.219,Alabama,AL
Rebecca,Female,1992-07-10 00:00:00.000,"12:23 AM",94231,17.517,Alabama,AL
Carlos,Male,1995-01-04 00:00:00.000,"7:02 AM",146670,10.763,Alabama,AL
Lois,Female,1987-12-25 00:00:00.000,"4:16 PM",106317,2.235,Alabama,AL
Carolyn,Female,2011-04-09 00:00:00.000,"5:38 AM",109260,2.65,Alabama,AL
Gloria,Female,2007-06-29 00:00:00.000,"5:34 AM",134148,8.833,Alabama,AL
Henry,Male,1995-04-24 00:00:00.000,"4:18 AM",43542,19.687,Alabama,AL
Adam,Male,2011-05-21 00:00:00.000,"1:45 AM",95327,15.12,Alabama,AL
Ashley,Female,2006-05-25 00:00:00.000,"11:30 AM",112238,6.03,Alabama,AL
,Female,1990-10-03 00:00:00.000,"1:08 AM",132373,10.527,Alabama,AL
Shirley,Female,1981-02-28 00:00:00.000,"1:23 PM",113850,1.854,Alabama,AL
Adam,Male,1990-12-24 00:00:00.000,"8:57 PM",110194,14.727,Alabama,AL
Elizabeth,Female,2003-10-09 00:00:00.000,"5:53 PM",146129,5.687,Alabama,AL
Teresa,,2016-01-28 00:00:00.000,"10:55 AM",140013,8.689,Alabama,AL
Nicole,,1982-03-05 00:00:00.000,"2:28 PM",122717,12.452,Alabama,AL
Jennifer,Female,2009-04-04 00:00:00.000,"10:47 PM",71715,13.079,Alabama,AL
Patricia,Female,1992-11-25 00:00:00.000,"2:24 AM",95322,4.15,Alabama,AL
Philip,Male,2008-07-17 00:00:00.000,"1:30 PM",89227,3.996,Alabama,AL
Patrick,,1991-07-14 00:00:00.000,"2:24 AM",124488,14.837,Alabama,AL
,Female,2014-08-17 00:00:00.000,"2:00 PM",86230,8.578,Alabama,AL
Sean,Male,1996-05-04 00:00:00.000,"8:59 PM",135490,19.934,Alabama,AL
Brandon,,1997-11-03 00:00:00.000,"8:17 PM",121333,15.295,Alabama,AL
Ruth,Female,1999-08-19 00:00:00.000,"4:03 AM",129297,8.067,Alabama,AL
Victor,,2011-03-10 00:00:00.000,"8:40 PM",84546,10.489,Alabama,AL
Rebecca,Female,1980-11-15 00:00:00.000,"4:13 AM",85730,5.359,Alabama,AL
Marie,Female,2003-03-16 00:00:00.000,"12:12 AM",104058,17.695,Alabama,AL
Howard,Male,1992-04-27 00:00:00.000,"1:10 AM",105062,1.563,Alabama,AL
,Female,2005-07-27 00:00:00.000,"8:32 AM",79536,14.443,Alabama,AL
Norma,Female,1999-02-28 00:00:00.000,"8:45 PM",114412,8.756,Alabama,AL
James,,1983-11-22 00:00:00.000,"10:52 PM",68501,14.316,Alabama,AL
Kathy,Female,2000-03-18 00:00:00.000,"7:26 PM",149563,16.991,Alabama,AL
Marilyn,,1999-08-22 00:00:00.000,"9:09 AM",103386,11.451,Alabama,AL
Arthur,Male,1998-04-13 00:00:00.000,"11:28 AM",89786,14.422,Alabama,AL
Terry,Male,1990-09-03 00:00:00.000,"9:15 PM",52226,19.135,Alabama,AL
Mary,Female,1999-08-13 00:00:00.000,"1:03 AM",134645,18.197,Alabama,AL
,Female,2014-03-23 00:00:00.000,"1:28 PM",59148,9.061,Alabama,AL
,Female,1991-07-09 00:00:00.000,"6:52 PM",42341,7.014,Alabama,AL
Christopher,Male,2011-12-24 00:00:00.000,"12:22 PM",142178,17.984,Alabama,AL
Peter,,1987-09-03 00:00:00.000,"5:59 PM",38989,7.017,Alabama,AL
Michelle,Female,1996-11-04 00:00:00.000,"9:34 PM",53754,5.455,Alabama,AL
Irene,Female,1992-01-29 00:00:00.000,"11:36 AM",133772,19.02,Alabama,AL
Patrick,Male,2007-08-17 00:00:00.000,"3:16 AM",143499,17.495,Alabama,AL
Sara,Female,1991-09-23 00:00:00.000,"6:17 PM",97058,9.402,Alabama,AL
Lillian,Female,2008-12-21 00:00:00.000,"6:51 PM",85446,3.959,Alabama,AL
,,2007-09-18 00:00:00.000,"6:59 PM",40297,6.185,Alabama,AL
Willie,Male,1998-02-17 00:00:00.000,"8:20 PM",146651,1.451,Alabama,AL
Victor,Male,2003-01-08 00:00:00.000,"1:02 PM",124486,10.166,Alabama,AL
Wayne,Male,2012-04-07 00:00:00.000,"8:00 AM",102652,14.085,Alabama,AL
Jane,Female,1997-09-03 00:00:00.000,"2:01 AM",144474,17.648,Alabama,AL
Jessica,Female,1995-10-23 00:00:00.000,"5:53 AM",68759,19.343,Alabama,AL
Mark,Male,2008-04-12 00:00:00.000,"5:40 PM",57286,5.025,Alabama,AL
Randy,Male,1999-11-14 00:00:00.000,"12:12 PM",58129,1.952,Alabama,AL
Lillian,Female,1999-06-19 00:00:00.000,"4:44 PM",123940,12.184,Alabama,AL
Ruth,,1999-05-18 00:00:00.000,"5:56 AM",98233,2.518,Alabama,AL
Jerry,Male,2003-12-18 00:00:00.000,"6:46 AM",140810,9.177,Alabama,AL
Sandra,Female,1983-01-19 00:00:00.000,"7:25 AM",42090,8.842,Alabama,AL
,Female,2005-02-23 00:00:00.000,"9:50 PM",149654,1.825,Alabama,AL
Roger,Male,2004-11-19 00:00:00.000,"3:55 PM",51430,6.46,Alabama,AL
Charles,Male,2000-10-14 00:00:00.000,"9:40 PM",71749,15.931,Alabama,AL
Clarence,Male,1998-05-02 00:00:00.000,"3:16 AM",85700,1.215,Alabama,AL
Carol,Female,1996-03-19 00:00:00.000,"3:39 AM",57783,9.129,Alabama,AL
Lois,Female,2013-10-18 00:00:00.000,"4:51 PM",36946,6.652,Alabama,AL
Barbara,,2003-05-03 00:00:00.000,"7:32 PM",99326,16.475,Alabama,AL
Rebecca,Female,1995-02-18 00:00:00.000,"6:50 AM",109259,4.443,Alabama,AL
Irene,Female,2004-01-30 00:00:00.000,"8:25 PM",131038,8.996,Alabama,AL
Ronald,Male,2014-04-30 00:00:00.000,"2:19 PM",121068,12.757,Alabama,AL
Steven,Male,1985-11-10 00:00:00.000,"10:53 AM",62719,19.127,Alabama,AL
Carolyn,Female,2012-11-06 00:00:00.000,"3:51 AM",69268,3.031,Alabama,AL
Maria,Female,1990-12-27 00:00:00.000,"9:57 PM",36067,9.64,Alabama,AL
Jonathan,Male,2009-07-17 00:00:00.000,"8:15 AM",130581,16.736,Alabama,AL
Gary,Male,1987-08-12 00:00:00.000,"12:04 AM",89661,8.525,Alabama,AL
Kimberly,Female,1997-07-15 00:00:00.000,"5:57 AM",36643,7.953,Alabama,AL
Roger,Male,1982-11-08 00:00:00.000,"2:32 AM",140558,5.084,Alabama,AL
Diana,Female,2013-01-04 00:00:00.000,"7:53 AM",103521,2.784,Alabama,AL
Willie,Male,2006-06-06 00:00:00.000,"9:45 AM",55281,4.935,Alabama,AL
Brandon,Male,2006-03-27 00:00:00.000,"5:54 PM",115711,8.012,Alabama,AL
Patricia,Female,2012-12-06 00:00:00.000,"4:01 AM",114079,8.399,Alabama,AL
Katherine,Female,1999-11-14 00:00:00.000,"8:15 AM",57531,1.767,Alabama,AL
Jonathan,Male,1987-10-12 00:00:00.000,"2:59 AM",141069,4.903,Alabama,AL
Emily,Female,2007-09-20 00:00:00.000,"11:25 AM",89434,11.295,Alabama,AL
Ruth,Female,1986-08-12 00:00:00.000,"7:29 PM",44639,9.148,Alabama,AL
Linda,Female,2006-06-24 00:00:00.000,"12:04 PM",110967,19.612,Alabama,AL
Lisa,Female,2009-11-02 00:00:00.000,"9:42 AM",115387,1.821,Alabama,AL
Evelyn,Female,1980-05-24 00:00:00.000,"11:10 PM",81673,15.364,Alabama,AL
Julie,Female,1989-07-23 00:00:00.000,"1:52 PM",109588,3.55,Alabama,AL
Mary,Female,2009-05-30 00:00:00.000,"11:41 PM",92544,3.8,Alabama,AL
Matthew,Male,2013-07-31 00:00:00.000,"8:04 AM",142373,2.462,Alabama,AL
Douglas,Male,1999-09-03 00:00:00.000,"4:00 PM",83341,1.015,Alabama,AL
Gregory,,1992-06-15 00:00:00.000,"5:08 AM",98865,10.628,Alabama,AL
Billy,Male,1995-03-13 00:00:00.000,"12:05 PM",120444,7.768,Alabama,AL
,Female,1991-06-17 00:00:00.000,"12:49 PM",71945,5.56,Alabama,AL
Gregory,Male,2000-01-29 00:00:00.000,"6:01 AM",109564,3.845,Alabama,AL
Jason,Male,1999-10-17 00:00:00.000,"10:09 PM",78417,3.067,Alabama,AL
Daniel,Male,2010-04-30 00:00:00.000,"3:48 AM",106947,15.866,Alabama,AL
Sarah,Female,1995-09-14 00:00:00.000,"7:50 AM",87298,2.311,Alabama,AL
Harry,Male,2015-10-01 00:00:00.000,"7:47 PM",64579,15.266,Alabama,AL
Kathy,Female,1995-04-19 00:00:00.000,"12:46 AM",50905,9.404,Alabama,AL
Todd,Male,1999-04-13 00:00:00.000,"10:31 AM",59728,11.226,Alabama,AL
Bobby,Male,1994-09-23 00:00:00.000,"1:29 AM",51685,17.445,Alabama,AL
Jeremy,Male,2000-06-08 00:00:00.000,"12:15 AM",49542,1.679,Alabama,AL
George,,1988-02-24 00:00:00.000,"11:29 AM",38375,8.999,Alabama,AL
Diane,Female,1993-04-18 00:00:00.000,"3:22 AM",64084,17.018,Alabama,AL
Marilyn,Female,1997-04-04 00:00:00.000,"9:28 PM",147663,10.263,Alabama,AL
Kathryn,Female,2004-02-04 00:00:00.000,"1:47 PM",73935,14.752,Alabama,AL
Irene,Female,1982-02-04 00:00:00.000,"5:26 PM",40837,12.182,Alabama,AL
Norma,Female,2015-02-11 00:00:00.000,"11:44 PM",94393,3.643,Alabama,AL
Laura,Female,2006-04-02 00:00:00.000,"1:57 PM",42087,2.624,Alabama,AL
Cheryl,Female,2008-09-23 00:00:00.000,"2:57 AM",52080,9.375,Alabama,AL
Kevin,Male,1982-03-25 00:00:00.000,"7:31 AM",35061,5.128,Alabama,AL
Lillian,,2016-05-12 00:00:00.000,"3:43 PM",64164,17.612,Alabama,AL
Phyllis,,1984-04-21 00:00:00.000,"7:05 PM",94088,19.107,Alabama,AL
Walter,Male,1983-07-06 00:00:00.000,"11:54 PM",127813,5.961,Alabama,AL
Robert,Male,1990-10-27 00:00:00.000,"7:15 PM",38041,18.428,Alabama,AL
Jimmy,Male,1986-10-07 00:00:00.000,"5:53 PM",126310,5.413,Alabama,AL
Clarence,Male,1996-10-08 00:00:00.000,"12:53 PM",142561,8.866,Alabama,AL
Victor,Male,1991-04-11 00:00:00.000,"7:44 AM",70817,17.138,Alabama,AL
Fred,,1984-12-02 00:00:00.000,"2:03 PM",59937,12.045,Alabama,AL
Brenda,,2010-07-27 00:00:00.000,"11:07 PM",106115,3.742,Alabama,AL
Justin,Male,1992-12-06 00:00:00.000,"5:58 PM",82782,4.366,Alabama,AL
Betty,Female,2002-06-12 00:00:00.000,"3:59 AM",104896,19.55,Alabama,AL
Randy,,1986-02-06 00:00:00.000,"3:04 PM",133943,8.94,Alabama,AL
Sharon,,1990-03-01 00:00:00.000,"3:46 AM",83658,6.513,Alabama,AL
Ralph,Male,2004-11-11 00:00:00.000,"1:35 AM",71896,4.232,Alabama,AL
,,2003-04-28 00:00:00.000,"3:01 AM",113732,10.391,Alabama,AL
Edward,Male,1985-05-27 00:00:00.000,"10:13 PM",110485,7.995,Alabama,AL
Denise,Female,2009-03-20 00:00:00.000,"7:57 AM",115118,5.108,Alabama,AL
Debra,Female,1998-03-13 00:00:00.000,"11:16 PM",48696,4.75,Alabama,AL
,Male,1999-11-25 00:00:00.000,"6:16 AM",42676,15.517,Alabama,AL
Michael,Male,2002-01-24 00:00:00.000,"3:04 AM",43586,12.659,Alabama,AL
Henry,Male,1995-02-06 00:00:00.000,"8:34 AM",89258,15.585,Alabama,AL
Gloria,Female,2007-03-27 00:00:00.000,"1:44 AM",90730,2.491,Alabama,AL
Marie,Female,1995-08-06 00:00:00.000,"1:58 PM",100308,13.677,Alabama,AL
Anne,Female,1986-07-16 00:00:00.000,"2:08 PM",69134,3.723,Alabama,AL
Sarah,,1985-11-21 00:00:00.000,"1:08 PM",58295,14.603,Alabama,AL
Stephanie,Female,1983-03-24 00:00:00.000,"11:15 AM",50141,13.218,Alabama,AL
Roy,Male,2004-09-23 00:00:00.000,"1:31 PM",101941,3.45,Alabama,AL
,Female,2009-08-05 00:00:00.000,"8:14 AM",115145,14.063,Alabama,AL
,Male,2005-02-04 00:00:00.000,"1:01 PM",40451,16.044,Alabama,AL
Irene,Female,1982-03-03 00:00:00.000,"8:26 AM",56526,5.81,Alabama,AL
,Female,1992-08-02 00:00:00.000,"8:35 PM",145316,18.517,Alabama,AL
Thomas,Male,2011-04-06 00:00:00.000,"1:04 PM",103235,9.554,Alabama,AL
Frank,,2001-11-20 00:00:00.000,"10:18 AM",58563,12.062,Alabama,AL
Fred,Male,1980-02-20 00:00:00.000,"2:25 AM",74129,18.225,Alabama,AL
Nicholas,Male,1994-04-12 00:00:00.000,"8:21 PM",74669,1.113,Alabama,AL
Howard,Male,1982-10-05 00:00:00.000,"7:22 AM",97490,5.46,Alabama,AL
Debra,Female,1994-02-22 00:00:00.000,"10:25 PM",104250,18.456,Alabama,AL
Christine,Female,1989-07-03 00:00:00.000,"4:01 AM",94345,11.996,Alabama,AL
Brenda,,1991-05-29 00:00:00.000,"6:32 AM",82439,19.062,Alabama,AL
Betty,Female,2005-06-28 00:00:00.000,"6:03 PM",51613,12.984,Alabama,AL
Ruby,Female,2000-11-08 00:00:00.000,"7:35 PM",105946,1.139,Alabama,AL
Kevin,Male,1997-07-12 00:00:00.000,"2:07 AM",46080,9.635,Alabama,AL
Arthur,Male,2014-01-01 00:00:00.000,"7:46 PM",134610,6.147,Alabama,AL
Carl,,2014-02-07 00:00:00.000,"3:57 AM",125104,12.345,Alabama,AL
Todd,Male,2009-03-11 00:00:00.000,"3:43 AM",107281,1.612,Alabama,AL
Brenda,Female,2005-10-06 00:00:00.000,"9:33 PM",141521,4.337,Alabama,AL
Judy,Female,1997-09-16 00:00:00.000,"12:10 AM",65931,2.304,Alabama,AL
Todd,Male,1984-02-02 00:00:00.000,"10:13 AM",69989,10.985,Alabama,AL
Lois,Female,2011-11-09 00:00:00.000,"7:06 AM",147183,9.999,Alabama,AL
Walter,,1999-12-21 00:00:00.000,"10:33 PM",66757,18.099,Alabama,AL
Jessica,Female,1985-09-27 00:00:00.000,"1:35 PM",75145,6.388,Alabama,AL
Jeremy,Male,1988-06-14 00:00:00.000,"6:20 PM",129460,13.657,Alabama,AL
Tammy,Female,1984-11-11 00:00:00.000,"10:30 AM",132839,17.463,Alabama,AL
Anne,Female,2000-03-07 00:00:00.000,"6:45 AM",44537,18.284,Alabama,AL
Jesse,Male,1999-10-25 00:00:00.000,"3:35 PM",118733,9.653,Alabama,AL
Virginia,Female,1999-10-20 00:00:00.000,"6:23 AM",46905,19.154,Alabama,AL
Jesse,Male,1981-03-02 00:00:00.000,"7:26 PM",79582,3.873,Alabama,AL
Jeremy,,1996-11-10 00:00:00.000,"1:49 PM",55394,3.18,Alabama,AL
Daniel,Male,2007-09-15 00:00:00.000,"10:16 PM",123811,7.664,Alabama,AL
Patrick,,2004-08-30 00:00:00.000,"11:43 AM",137314,4.542,Alabama,AL
Emily,Female,1988-01-13 00:00:00.000,"6:42 AM",36711,19.028,Alabama,AL
Alan,Male,1988-06-26 00:00:00.000,"3:54 AM",111786,3.592,Alabama,AL
James,Male,2015-07-11 00:00:00.000,"8:52 PM",72257,13.023,Alabama,AL
Adam,Male,2007-07-05 00:00:00.000,"11:59 AM",71276,5.027,Alabama,AL
Joan,,1980-07-25 00:00:00.000,"12:22 PM",38712,3.657,Alabama,AL
Jeremy,Male,1981-08-12 00:00:00.000,"12:05 AM",46930,18.702,Alabama,AL
Margaret,Female,1993-02-06 00:00:00.000,"1:05 PM",125220,3.733,Alabama,AL
Mark,Male,1984-04-01 00:00:00.000,"1:21 PM",121477,17.44,Alabama,AL
Marilyn,Female,1981-09-26 00:00:00.000,"2:23 AM",86386,2.937,Alabama,AL
Cheryl,Female,2009-09-08 00:00:00.000,"10:16 AM",81308,2.196,Alabama,AL
